FID,fid.1,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Cve_MunC,ID_Geo_N,Nom_Ent
a__31_MUN_INEGI_2020.1,1,31001,31,1,Abalá,31001,1,Yucatán
a__31_MUN_INEGI_2020.2,2,31002,31,2,Acanceh,31002,2,Yucatán
a__31_MUN_INEGI_2020.3,3,31003,31,3,Akil,31003,3,Yucatán
a__31_MUN_INEGI_2020.4,4,31004,31,4,Baca,31004,4,Yucatán
a__31_MUN_INEGI_2020.5,5,31005,31,5,Bokobá,31005,5,Yucatán
a__31_MUN_INEGI_2020.6,6,31006,31,6,Buctzotz,31006,6,Yucatán
a__31_MUN_INEGI_2020.7,7,31016,31,16,Chacsinkín,31016,7,Yucatán
a__31_MUN_INEGI_2020.8,8,31017,31,17,Chankom,31017,8,Yucatán
a__31_MUN_INEGI_2020.9,9,31018,31,18,Chapab,31018,9,Yucatán
a__31_MUN_INEGI_2020.10,10,31019,31,19,Chemax,31019,10,Yucatán
a__31_MUN_INEGI_2020.11,11,31007,31,7,Cacalchén,31007,11,Yucatán
a__31_MUN_INEGI_2020.12,12,31008,31,8,Calotmul,31008,12,Yucatán
a__31_MUN_INEGI_2020.13,13,31009,31,9,Cansahcab,31009,13,Yucatán
a__31_MUN_INEGI_2020.14,14,31010,31,10,Cantamayec,31010,14,Yucatán
a__31_MUN_INEGI_2020.15,15,31011,31,11,Celestún,31011,15,Yucatán
a__31_MUN_INEGI_2020.16,16,31012,31,12,Cenotillo,31012,16,Yucatán
a__31_MUN_INEGI_2020.17,17,31013,31,13,Conkal,31013,17,Yucatán
a__31_MUN_INEGI_2020.18,18,31014,31,14,Cuncunul,31014,18,Yucatán
a__31_MUN_INEGI_2020.19,19,31015,31,15,Cuzamá,31015,19,Yucatán
a__31_MUN_INEGI_2020.20,20,31020,31,20,Chicxulub Pueblo,31020,20,Yucatán
a__31_MUN_INEGI_2020.21,21,31021,31,21,Chichimilá,31021,21,Yucatán
a__31_MUN_INEGI_2020.22,22,31022,31,22,Chikindzonot,31022,22,Yucatán
a__31_MUN_INEGI_2020.23,23,31023,31,23,Chocholá,31023,23,Yucatán
a__31_MUN_INEGI_2020.24,24,31024,31,24,Chumayel,31024,24,Yucatán
a__31_MUN_INEGI_2020.25,25,31049,31,49,Mayapán,31049,25,Yucatán
a__31_MUN_INEGI_2020.26,26,31050,31,50,Mérida,31050,26,Yucatán
a__31_MUN_INEGI_2020.27,27,31025,31,25,Dzán,31025,27,Yucatán
a__31_MUN_INEGI_2020.28,28,31026,31,26,Dzemul,31026,28,Yucatán
a__31_MUN_INEGI_2020.29,29,31027,31,27,Dzidzantún,31027,29,Yucatán
a__31_MUN_INEGI_2020.30,30,31028,31,28,Dzilam de Bravo,31028,30,Yucatán
a__31_MUN_INEGI_2020.31,31,31029,31,29,Dzilam González,31029,31,Yucatán
a__31_MUN_INEGI_2020.32,32,31030,31,30,Dzitás,31030,32,Yucatán
a__31_MUN_INEGI_2020.33,33,31031,31,31,Dzoncauich,31031,33,Yucatán
a__31_MUN_INEGI_2020.34,34,31032,31,32,Espita,31032,34,Yucatán
a__31_MUN_INEGI_2020.35,35,31033,31,33,Halachó,31033,35,Yucatán
a__31_MUN_INEGI_2020.36,36,31034,31,34,Hocabá,31034,36,Yucatán
a__31_MUN_INEGI_2020.37,37,31035,31,35,Hoctún,31035,37,Yucatán
a__31_MUN_INEGI_2020.38,38,31036,31,36,Homún,31036,38,Yucatán
a__31_MUN_INEGI_2020.39,39,31037,31,37,Huhí,31037,39,Yucatán
a__31_MUN_INEGI_2020.40,40,31038,31,38,Hunucmá,31038,40,Yucatán
a__31_MUN_INEGI_2020.41,41,31039,31,39,Ixil,31039,41,Yucatán
a__31_MUN_INEGI_2020.42,42,31040,31,40,Izamal,31040,42,Yucatán
a__31_MUN_INEGI_2020.43,43,31041,31,41,Kanasín,31041,43,Yucatán
a__31_MUN_INEGI_2020.44,44,31042,31,42,Kantunil,31042,44,Yucatán
a__31_MUN_INEGI_2020.45,45,31055,31,55,Opichén,31055,45,Yucatán
a__31_MUN_INEGI_2020.46,46,31056,31,56,Oxkutzcab,31056,46,Yucatán
a__31_MUN_INEGI_2020.47,47,31057,31,57,Panabá,31057,47,Yucatán
a__31_MUN_INEGI_2020.48,48,31058,31,58,Peto,31058,48,Yucatán
a__31_MUN_INEGI_2020.49,49,31043,31,43,Kaua,31043,49,Yucatán
a__31_MUN_INEGI_2020.50,50,31059,31,59,Progreso,31059,50,Yucatán
a__31_MUN_INEGI_2020.51,51,31044,31,44,Kinchil,31044,51,Yucatán
a__31_MUN_INEGI_2020.52,52,31045,31,45,Kopomá,31045,52,Yucatán
a__31_MUN_INEGI_2020.53,53,31046,31,46,Mama,31046,53,Yucatán
a__31_MUN_INEGI_2020.54,54,31047,31,47,Maní,31047,54,Yucatán
a__31_MUN_INEGI_2020.55,55,31048,31,48,Maxcanú,31048,55,Yucatán
a__31_MUN_INEGI_2020.56,56,31051,31,51,Mocochá,31051,56,Yucatán
a__31_MUN_INEGI_2020.57,57,31052,31,52,Motul,31052,57,Yucatán
a__31_MUN_INEGI_2020.58,58,31053,31,53,Muna,31053,58,Yucatán
a__31_MUN_INEGI_2020.59,59,31054,31,54,Muxupip,31054,59,Yucatán
a__31_MUN_INEGI_2020.60,60,31060,31,60,Quintana Roo,31060,60,Yucatán
a__31_MUN_INEGI_2020.61,61,31061,31,61,Río Lagartos,31061,61,Yucatán
a__31_MUN_INEGI_2020.62,62,31062,31,62,Sacalum,31062,62,Yucatán
a__31_MUN_INEGI_2020.63,63,31064,31,64,Sanahcat,31064,63,Yucatán
a__31_MUN_INEGI_2020.64,64,31065,31,65,San Felipe,31065,64,Yucatán
a__31_MUN_INEGI_2020.65,65,31063,31,63,Samahil,31063,65,Yucatán
a__31_MUN_INEGI_2020.66,66,31066,31,66,Santa Elena,31066,66,Yucatán
a__31_MUN_INEGI_2020.67,67,31067,31,67,Seyé,31067,67,Yucatán
a__31_MUN_INEGI_2020.68,68,31100,31,100,Ucú,31100,68,Yucatán
a__31_MUN_INEGI_2020.69,69,31101,31,101,Umán,31101,69,Yucatán
a__31_MUN_INEGI_2020.70,70,31102,31,102,Valladolid,31102,70,Yucatán
a__31_MUN_INEGI_2020.71,71,31103,31,103,Xocchel,31103,71,Yucatán
a__31_MUN_INEGI_2020.72,72,31104,31,104,Yaxcabá,31104,72,Yucatán
a__31_MUN_INEGI_2020.73,73,31068,31,68,Sinanché,31068,73,Yucatán
a__31_MUN_INEGI_2020.74,74,31069,31,69,Sotuta,31069,74,Yucatán
a__31_MUN_INEGI_2020.75,75,31070,31,70,Sucilá,31070,75,Yucatán
a__31_MUN_INEGI_2020.76,76,31071,31,71,Sudzal,31071,76,Yucatán
a__31_MUN_INEGI_2020.77,77,31072,31,72,Suma,31072,77,Yucatán
a__31_MUN_INEGI_2020.78,78,31073,31,73,Tahdziú,31073,78,Yucatán
a__31_MUN_INEGI_2020.79,79,31074,31,74,Tahmek,31074,79,Yucatán
a__31_MUN_INEGI_2020.80,80,31075,31,75,Teabo,31075,80,Yucatán
a__31_MUN_INEGI_2020.81,81,31076,31,76,Tecoh,31076,81,Yucatán
a__31_MUN_INEGI_2020.82,82,31077,31,77,Tekal de Venegas,31077,82,Yucatán
a__31_MUN_INEGI_2020.83,83,31078,31,78,Tekantó,31078,83,Yucatán
a__31_MUN_INEGI_2020.84,84,31079,31,79,Tekax,31079,84,Yucatán
a__31_MUN_INEGI_2020.85,85,31080,31,80,Tekit,31080,85,Yucatán
